,questions,answers
36,"Где происходят действия романа ""Отверженные"" Виктора Гюго?",Париж
37,Из какой породы рыб в древнем Китае вывели аквариумную золотую рыбку?,карась
38,К какой династии относился Ричард Львиное Сердце?,Плантагенет
39,Как звали коня Александра Македонского?,Буцефал
40,Как звали мать Александра Македонского?,Олимпиада
41,Как иначе называется канун Рождества Христова?,сочельник
42,Как называется административный центр штата Аляска?,Джуно
43,Как называется главный труд Карла Маркса?,капитал
44,Как называется столица Камбоджи?,Пномпень
45,Как называются деньги в Гондурасе?,лемпира
46,"Какое безобидное существо носит странное название ""Мертвая голова""?",бабочка бражник
47,Какой город на черноморском побережье назывался Кафа?,Феодосия
48,Какой город расположен на южном берегу пролива Золотые Ворота?,Сан-Франциско
49,Какой город является административным центром штата Нью-Йорк?,Олбани
50,Какой город является столицей Нигерии?,Абуджа
51,Какой музыкальный инструмент прославил имя Луи Армстронга?,труба
52,"Какой стране принадлежит авиакомпания ""KLM""?",Голландия
53,"Какому музею принадлежит ""Джоконда"" великого Леонардо?",Лувр
54,"Какую стезю избрал на пятом десятке француз Мишель де Монтень, вдоволь посражавшись на стороне Генриха IV, кем он стал?",философ
55,"Какую страну римляне называли ""Каледония""?",Шотландию
56,"Кому принадлежат слова ""И ты, Брут""?",Цезарю
57,"Кому принадлежат слова: ""Я мыслю, следовательно существую""?",Декарт
58,"Кто автор произведения ""Ученые женщины""?",Мольер
59,"Кто автор романа ""Спартак""?",Джованьоли
60,Кто заложил основы кибернетики?,Винер
61,"Кто написал повесть-сказку ""Приключения Пиноккио""?",Коллоди
62,"Кто написал поэму ""Потерянный рай""?",Мильтон
63,"Кто написал поэму ""Черный человек""?",Есенин
64,"Кто написал сказку ""Карлик-Нос""?",Гауф
65,"Кто плавал на папирусной лодке ""Ра"" и на плоту ""Кон-Тики""?",Хейердал
66,Кто придумал Алису Селезневу?,Булычев
67,Кто придумал комиссара Мегрэ?,Сименон
68,Кто придумал персонаж по имени Анастасия Каменская?,Маринина
69,"Кто сочинил ""Танец с саблями""?",Хачатурян
70,Лидером какой музыкальной группы был Фред Меркьюри?,queen
71,На какой планете родился Люк Скайвокер?,Татуин
72,Столицей какой республики является Тегусигальпа?,Гондурас
73,Какой архитектор построил Исаакиевский собор в Санкт-Петербурге?,Монферран
74,Какой русский поэт был мужем знаменитой танцовщицы Айседоры Дункан?,Есенин
75,"Страна, которой обязано своим происхождением ""церковное"" вино – кагор",Франция
76,"Какое здание в Ханое американские солдаты окрестили ханойским ""Хилтоном""?",тюрьму
77,"Кто сказал ""И ты, Брут""?",Цезарь
78,В какой стране находится город Брянск?,Россия
79,В каком театре выступал Владимир Высоцкий?,Таганка
80,Где находится штат Уттар-Прадеш,Индия
81,Как звали брата Каина?,Авель
82,Как звали брата Авеля?,Каин
83,"Как звали отца Ромула, в честь которого римляне даже переделали свой календарь?",Марс
84,"Как называется город в США, где расположен всемирно известный Гарвардский университет?",Кембридж
85,Как называется коллекционирование марок?,филателия
86,"Какое единоборство принесло голливудской звезде Жан-Клоду Ван Дамму прозвище ""мускулы из Брюсселя""",карате
87,Какой герой послужил прототипом А. Толстому для создания образа Буратино?,Пиноккио
88,Какой художник заставил запорожцев написать письмо турецкому султану?,Репин
89,Какую партию возглавляет Жириновский (аббрев.)?,ЛДПР
90,Кто из ахейцев-героев Троянской войны был мужем Клитемнестры?,Агамемнон
91,Основателем какой китайской династии был Сяо Янь,Лян
92,"Что получится, если переплавить наполеондор",золото
93,В какой стране город Бангкок?,Тайланд
94,Где находится Афон – святая гора?,Греция
95,Как в системе СИ называется единица магнитной индукции?,тесла
96,Какая участь ждала Гитлера?,самоубийство
97,Куда впадает река Уссури?,Амур
98,Какая река впадает в Мертвое море?,Иордан
99,На какой реке стоит город Багдад?,Тигр
100,Какого числа отмечают день Святого Валентина?,14 февраля
101,"В какой земле Германии находится старинный город Веймар, где расположены музеи И. В. Гете, И. Ф. Шиллера и Ф. Листа?",Тюрингия
102,Как называется денежная единица Аомыня (Макао)?,Патака
103,В каком городе родился Людвиг ван Бетховен?,Бонн
104,Откуда родом был великий русский изобретатель-самоучка Иван Петрович Кулибин?,Нижний Новгород
105,Какая болезнь развилась у Бетховена в последние годы жизни?,Глухота
106,Кто такие «морские свиньи»?,Киты (подотряд зубатых китов)
107,Какой писатель-фантаст придумал три закона робототехники?,Айзек Азимов
108,Какой вид спорта прославил имя Сергея Бубки?,Прыжки с шестом
109,Какой музыкальный инструмент прославил Веру Дулову?,Арфа
110,"Какой стране принадлежит остров Мадейра, давший название крепкому вину мадере?",Португалии
111,Какое животное (и только оно!) вырабатывает амбру?,Кашалот
112,Где находится Рокфеллер Плато?,Антарктида
113,"Кем был знаменитый грек Аристотель, который жил в  IV веке до н.э.?",Философом
114,"Кто автор строк: ""Белеет парус одинокий...""?",М.Ю.Лермонтов
115,Какой город является столицей республики Бурятия?,Улан-Удэ
116,Где расположен Пиренейский полуостров?,Европа
117,Где расположен космодром Плесецк?,Архангельская область
118,Какой город является столицей Чувашии?,Чебоксары
119,Какой титул был у Мюнхгаузена?,Барон
120,Какая наука изучает атмосферу и её состав?,Метеорология
121,Какой металл обязательно присутствует в амальгаме?,ртуть
122,В какой стране на население наводили ужас тонтон-макуты?,Гаити
123,Как называлась столица государства ацтеков?,Теночтитлан
124,В каком городе аэропорт назван именем Джона Леннона,Ливерпуль
125,Кому приписывается открытие пути эволюции человека?,Чарльз Дарвин
126,"Кто из персонажей романа Л.Н.Толстого ""Война и мир"" является мужем Наташи Ростовой?",Пьер Безухов
127,Какие формы земной поверхности изучает спелеолог?,Пещеры
128,Кто создал сайт в Контакте?,Павел Дуров
129,В какой легкоатлетической дисциплине олимпийский рекорд Боба Бимона 1968 года был побит только в 1991,Прыжки в длинну
130,На какой реке стоит город Саратов?,Волга
131,В какой области науки проявились выдающиеся способности Софьи Ковалевской?,Математика
132,"Кто написал текст российского гимна «Боже, царя храни»?",Василий Жуковский
133,Какой стране принадлежат Шантарские острова?,Россия
134,Кто из великих художников Возрождения расписывал Сикстинскую капеллу Ватикана?,Микеланджело
135,Какому времени года соответствует 2-й месяц французского республиканского календаря брюмер?,Осень
136,На какой реке стоит Тверь?,Волга
137,Какой язык является государственным языком Эфиопии?,Амхарский
138,На какой реке стоит город Прага?,Влтава
139,Какой город является административным центром (столицей) штата Техас?,Остин
140,Кто убил Петра Столыпина?,Богров
141,"Кому из борцов за гражданские права принадлежит фраза ""У меня есть мечта...""?",Мартину Лютеру Кингу
142,На какой реке стоит Минск?,Свислочь
143,Какой из городов является столицей Швейцарской конфедерации?,Берн
144,В каком созвездии самая яркая звезда называется Вега?,Лира
145,Кто победил на конкурсе ''Мисс Мира'' в 1994 году?,Айшвария Рай
146,"В какой город переселился из Мекки Мухаммед в 622 году, дав тем самым точку отсчета для мусульманского летосчисления?",медина
147,В каком городе обосновалось коллаборационистское правительство Петена в период оккупации Франции немецкими войсками?,Виши
148,"Кто создал Лестерский кодекс - тетрадь научных работ, которую Билл Гейтс приобрел за 30 миллионов долларов?",Леонардо да Винчи
149,"Каким типом корабля был ""Кореец"", храбро сражавшийся вместе с ""Варягом"" против японской эскадры?",Канонерская лодка
150,Как называются денежные купюры Армении?,драмы
151,Какая единица в системе СИ носит имя изобретателя Николы Тесла?,Магнитной индукции
152,"Кто написал сказку ""Спящая царевна""?",В. А. Жуковский
153,В какой стране расположен город Антверпен?,Бельгия
154,В какой стране в 1960 году Сиримаво Бандаранаике стала первой женщиной премьер-министром?,Шри-Ланка
155,В каком городе родилась известная актриса Фаина Раневская?,Таганрог
156,В каком городе родился пророк Мухаммед (Магомет)?,Мекка
157,В каком стиле работал архитектор Растрелли?,Барокко
158,"В каком городе происходит действие романа Т. Манна ""Будденброки""",В Любеке.
159,Как звали лошадь Дон Кихота?,Росинант
160,Где правит королевский дом Бернадотов?,Швеция
161,На какой реке находится знаменитый водопад Виктория?,Замбези
162,В каком регионе России находится старинный город Сарапул?,Удмуртия
163,Какой город является столицей штата Аляска?,Джуно
164,В какой из стран есть курорты Солнечный День и Солнечный Берег?,В Болгарии
165,"Сыном какой страны был Эдмунд Хиллари, первым вместе с шерпом Н. Тенцингом покорившим Эверест?",Новая Зеландия
166,На каком острове находится вулкан Фудзияма?,Хонсю
167,Какое игровое амплуа у футболиста Игоря Акинфеева?,Вратарь
168,"В каком городе происходит действие повести Марка Твена ""Принц и нищий""?",Лондон
169,"В каком городе расположен музей ""Прадо""?",Мадрид
170,Где находится Танталова пещера?,Австрия
171,"Какая группа записала музыкальный альбом ""Актриса Весна""?","""ДДТ"""
172,"Кем был сформулирован закон, что действию всегда есть равное противодействие?",Ньютоном
173,Какой композитор написал первую советскую рок-оперу «Орфей и Эвридика»?,Александр Журбин
174,Как звали жену Рембрандта?,Саския
175,"Какой художник был подвергнут критике французского высшего общества за скандальный ""Портрет мадам Икс""?",Джон Сингер Сарджент
176,В каком театре играет О.Басилашвили?,БДТ
177,В каком море находится полуостров Ямал?,Карское
178,Какая ветвь философии включает в себя изучение этики и эстетики?,Аксиология
179,"Кто написал музыку к песне ""Подмосковные вечера""?",Соловьев-Седой
180,"Кто организовал зарубежные ""русские сезоны"", прославившие в начале XX века русский балет?",Дягилев
181,Какой стране принадлежит остров Эльба-место ссылки Наполеона?,Италия
182,В какой стране находится национальный парк Банф?,Канада
183,Кто был матерью Ивана Грозного?,Елена Глинская
184,"Каков жанр произведения А.С.Пушкина ""Капитанская дочка""?",Повесть
185,Каким видом спорта профессионально занимался известный тенор Зураб Соткилава?,Футбол
186,Какой город архитектор Оскар Нимейер возвел ''на пустом месте''?,Бразилия
187,"Какой стране принадлежит архипелаг Бокас-дель-Торо, на котором проходят съемки ""Последнего героя""?",Панама
188,Какая гора - наивысшая точка Кавказа?,Эльбрус
189,Кто автор музыкальной фантазии «Карнавал животных»?,Камиль Сен-Санс
190,"В какой стране многие годы бесчинствовала левацкая террористическая организация ""Сендеро Луминосо""?",Перу
191,В какой стране течет река Оранжевая?,ЮАР
192,Какая певица вышла замуж за капитана футбольной команды «Зенит» Владислава Радимова?,Татьяна Буланова
193,В какой стране расположен храмовый комплекс Ангкорвоат?,Камбоджа
194,Какой стране принадлежит домен высшего уровня .co?,Колумбия
195,"Кто автор книги ""Шевалье де Сент-Эрмин""?",Александр Дюма
196,В каком итальянском городе находится картинная галерея Уффици?,Флоренция
197,"Кем по профессии был Джеймс Бонд, чьим именем был назван герой серии книг Яна Ланкастера Флеминга?",Орнитолог
198,Какая звезда изображена на флаге Аргентины?,Солнце
199,"В каком музее мира находится картина Винсента Ван Гога ""Красные виноградники в Арле""?","Гос. Музей изобразительных искусств им. А.С.Пушкина, Москва."
200,Гражданином какой страны был открыватель пенициллина Александр Флеминг?,Великобритания.
201,"Кто из отечественных режиссёров, снимавших фильмы по романам А.Дюма, поставил киноленту ""Узник замка Иф""?",Г.Юнгвальд-Хилькевич
202,Кто написал оперу Евгений Онегин?,П. И. Чайковский
203,Какой город является центром Уральского федерального округа?,Екатеринбург
204,Какой город является столицей Австралии?,Канберра
205,Где находится одна из наиболее сохранившихся ископаемых формаций Бержес-Шейл?,Канада
206,"Кинематографисты какой страны сняли знаменитый телесериал ""Ставка больше чем жизнь""?",ПНР (Польская народная республика)
207,Кто изобрёл фонограф - устройство для записи и воспроизведения голоса?,Томас Эдисон
208,"Кто из космонавтов участвовал в совместном с США полете ""Союз - Аполлон""?","Алексей Леонов, Валерий Кубасов, Томас Стаффорд, Вэнс Бранд, Дональд Слейтон."
209,Кем был по футбольному амплуа известный физик Нильс Бор?,Вратарь
210,Какая река протекает по Большому Каньону в США?,Колорадо
211,Какая команда стала последним чемпионом СССР по футболу?,ЦСКА Москва
212,Какой город является столицей Кирибати?,Южная Тарава
213,Какой стадион принимал финал чемпионата мира по футболу 1966 года?,Уэмбли (Лондон)
214,Какой город является столицей Свазиленда?,Мбабане
215,К какой религии принадлежат верующие КРЫМЧАКИ?,Иудаизм
216,В какой стране находится гора Косцюшко?,Австралия
217,В какой стране родился танец ФЛАМЕНКО?,Испания
218,Каким театром с 1988 года руководит Юрий Соломин?,руководитель Малого театра России
219,Какая физическая величина измеряется в ньютонах на метр?,Момент силы
220,Где находятся Карлсбадские пещеры?,США
221,Где можно прогуляться по Патагонии?,В Аргентине
222,"Кого в Англии называют ""синими воротничками""?",Рабочих
223,"Кто ввёл термин ""Эдипов комплекс""?",Зигмунд Фрейд  в 1910 году в небольшой работе «Об особом типе выбора объекта у мужчин»
224,В какой стране стоит известный памятник «Воину-освободителю»?,Германия
225,Какой стране принадлежит домен высшего уровня .nz?,Новая Зеландия
226,Где находится вулкан Этна?,"Италия, Регион Сицилия, Провинция Катания (действующий, 3329 м)"
227,В какой стране находится Мекка?,Саудовская Аравия
228,"Кто написал роман ""На маяк""?",Вирджиния Вулф
229,Где родился Дмитрий Дмитриевич Шостакович?,в Санкт-Петербурге
230,Как звали мать мифологического Минотавра?,Пасифая
231,Какая римская богиня соответствует греческой Персефоне?,Прозерпина
232,В каком городе расположен Альгамбра?,В Гранаде.
233,В каком городе расположен Тадж - Махал?,В Агре.
234,В каком городе расположен Акрополь?,В Афинах.
235,"Какой автомобильной компании принадлежит марка ""Плимут""?",Крайслер
236,Какой город является столицей Нагорно-Карабахской Республики?,Степанакерт
237,Какой стране принадлежит домен высшего уровня .mo?,макао
238,В каком городе пребывает Международный суд ООН?,Гаага
239,Кем был по национальности лидер Югославии Иосип Броз Тито?,Хорват
240,Какая пьеса Шекспира легла в основу сюжета мюзикла «Вестсайдская история»?,«Ромео и Джульетта»
241,"Кто написал картину ""Сад земных наслаждений""?",Иероним Босх
242,Кто стал мужем Елены Троянской?,Менелай
243,Где находится город Усть-Илимск?,в Восточной Сибири в Иркутской области.
244,В какой стране одно время правили сандинисты?,Никарагуа
245,Кто рассказал о своей первой работе в повести «Записки на манжетах»?,Михаил Булгаков
246,Какой стране принадлежат Азорские острова?,Португалии
247,Частью какой страны является Тасмания?,это самый маленький штат Австралии
248,"Кто написал рассказ ""Бурмистр""?",Тургенев
249,"Кто написал ""Лестерский кодекс"" который в 1994 году купил Бил Гейтс за более чем 30 миллионов долларов?",Леонардо Да Винчи
250,Какой город является столицей Северной Ирландии?,Белфаст
251,Как называется столица Кампучии?,Пномпень
252,Где в теле человека расположена плюсна?,Стопа
253,"Как назывался первый в социалистической Польше независимый профсоюз, во главе которого стоял будущий президент Лех Валенса?","""Солидарность''"
254,К какой стране принадлежит производитель BMW?,Германия
255,Где находится озеро Балатон,Венгрия
256,Кто снял короткометражку «Когда казаки плачут» по мотивам «Донских рассказов» Михаила Шолохова?,"""Евгений Моргунов"""
257,В какой стране законодательную власть осуществляет кнессет?,Израиль
258,Какой город является столицей государства Руанда?,Кигали
259,В каком архитектурном стиле возведён Казанский собор,классицизм
260,Какая группа принимала участие в съёмках фильма Алексея Балабанова «Брат»?,«Наутилус Помпилиус»
261,"Какой из Александровых написал музыку, которая теперь является гимном России?",Александр Васильевич
262,Какой архитектор больше 40 лет строил собор Саграда Фамилия в Барселоне?,Антонио Гауди
263,"Кто был основателем компании ""Audi""?",Август Хорьх
264,Кто является режиссером скандального телесериала «Школа»?,Валерия Гай-Германика
265,В какой стране действует террористическая организация с аббревиатурой ЭТА?,Испания
266,Какому учёному принадлежит изобретение системы координат в математике?,Декарту
267,В какой стране изобрели блюдо ризотто?,Италия
268,Какие виды спорта входят в десятиборье?,"Бег на 100 метров, прыжки в длину, толкание ядра, прыжки в высоту, бег на 400 метров, бег на 110 метров с барьерами, метание диска, прыжки с шестом, метание копья, бег на 1500 метров."
269,Каким видом единоборства виртуозно владеет Стивен Сигал?,Айкидо
270,Где в 1972 году прошли летние Олимпийские игры?,Мюнхен
271,В каком регионе Африки находится Республика Нигер?,В Западной Африке
272,"Кто автор картины ""Цветы зла?""",Шарль Бодлер
273,"Кем был по профессии Ласло Йозеф Биро, изобретатель шариковой ручки?",журналист
274,"Кто автор романа ""Острие бритвы""?","роман Сомерсета Моэма, изданный в 1944 г."
275,Какое произведение Чехова послужило основой для кинофильма «Мой ласковый и нежный зверь»?,«Драма на охоте».
276,Какая река берёт начало в озере Байкал?,Ангара
277,Притоком какой реки является Москва-река?,Ока
278,Какой природный объект Карелии называется Кивач?,Водопад
279,В каком озере отражаются красивые церкви Новгорода?,Ильмень
280,Где находится город Ош?,В Киргизии
281,"""В каком пригороде Санкт-Петербурга можно полюбоваться Янтарной комнатой?""",Пушкин.
282,"Кто автор музыкальной пьесы ""Ученик чародея""?",Поль Дюка
283,Какой город является административным центром Амурской области?,Благовещенск
284,"Кем был по профессии Льюис Кэрролл, автор сказок об Алисе?",математиком
285,Какая из императриц оказалась на российском престоле после смерти Петра I?,Екатерина I
286,Какой стране принадлежит домен высшего уровня .ao?,Ангола
287,Как называется денежная единица Киргизии?,"Сом (S, KGS), равный 100 тыйын"
288,В какой стране прошли зимние Олимпийские игры 2006 года?,Италия
289,В какой современной стране находятся развалины Карфагена?,в Тунисе
290,"Кто основал компанию ""Опель""?",Адам Опель
291,Где находится город Бухара?,Узбекистан
292,"Кто является автором романа ""угрюм-река""?",Шишков В
293,кто завоевал кубок мира по биатлону среди мужчин в 2013 году,мартен фуркад
294,Частью какой оперы являются Половецкие пляски?,Князь Игорь
295,"Кто поставил знаменитый японо-советский фильм ""Дерсу Узала""?",Акира Куросава
296,Кто был хозяином коня по кличке Буцефал?,Александр Македонский
297,В каком американском городе создано издательство имени Чехова?,Нью-Йорк
298,Какое игровое амплуа у было у Дэвида Бекхэма?,Полузащитник
299,"В каком городе Америки ""Бронкс"" является городским районам",Нью-Йорк
300,Где будут проходить летние Олимпийские игры в 2016г.,в Рио-де-Жанейро
301,Где используется индийская защита?,в шахматах
302,В каком театре 19 апреля 1836 года состоялась премьера комедии Н.В. Гоголя «Ревизор»?,В Александринском театре в Петербурге. Ныне Российский академический театр драмы им. А.С. Пушкина.
303,В какой сборник Николая Гоголя входит повесть «Вий»?,«Миргород».
304,Кто автор памятника И.А. Крылову в Летнем саду Санкт-Петербурга?,П.К. Клодт
305,В какой спортивной игре существует термин «гамбит»?,В шахматах.
306,Кто был председателем Временного Правительства?,Керенский
307,В каком часовом поясе находится город Лиссабон?,UTC+0
308,Кто написал повесть «Кондуит и Швамбрания»?,Лев Кассиль
309,Кто написал роман «Три товарища»?,Эрих Мария Ремарк
310,Кто написал роман «Чёрный обелиск»?,Эрих Мария Ремарк
311,Кто написал картину «Последний день Помпеи»?,Карл Павлович Брюллов
312,Кто написал картину «Утро стрелецкой казни»?,Василий Иванович Суриков
313,Кто написал картину «Утро в сосновом лесу»?,Иван Иванович Шишкин и Константин Аполлонович Савицкий (Савицкий написал медведей)
314,Кто написал картину «Джоконда» («Мона Лиза»)?,Леонардо да Винчи
315,Кто написал картину «Девочка с персиками»?,Валентин Александрович Серов
316,В какой стране проводился 18-й чемпионат мира по футболу 2006 года?,Германия
317,Кто изображен на американской банкноте достоинством в десять долларов?,Александр Гамильтон (1755 – 1804).
318,Что изображено на флаге Лихтенштейна?,Корона
319,Как называется стадион футбольной команды «Вильяреал»?,Эль Мадригал
320,Какому композитору пришлось дописать оперу Мусоргского Хованщина?,Римский-Корсаков
321,Что ацтеки использовали в качестве разменной монеты?,Какао-бобы
322,В какой стране находится город Борисполь?,Украина
323,Притоком какой реки является Золотая Липа?,Днестр
324,Какой певческий голос был у Фёдора Шаляпина?,бас
325,В каком море находится остров Кимолос?,Эгейское
326,В какой области творчества прославился австриец Густав Климт?,живопись
327,Какая империя пришла на смену парфянскому царству?,Сасанидов
328,На какой реке находится остров Тагарский?,Енисей
329,"Чей ""Логико-философский трактат"" вдохновил Венский кружок на создание программы логического позитивизма?",Людвиг Витгенштейн
330,Какой город является административной столицей ЮАР?,Претория
331,К какой группе элементарных частиц относятся электроны?,Лептоны
332,Что есть у колодца?,ворот
333,Какой город является столицей штата США Кентукки?,Франкфорт
334,В какой стране расположены Семь Рильских озёр?,Болгария
335,Кто является председателем Русского Географического Общества?,Сергей Шойгу
336,В каком созвездии находится Крабовидная туманность?,Телец
337,На каком языке писал и преподавал Парацельс?,немецком
338,В каком произведении Ф. Кафки главного героя зовут Грегор Замза?,Превращение
339,Чем являются Гавайские острова?,штат США (50-ый)
340,"Кто в 2002 году тренировал Алексея Ягудина, завоевавшего олимпийское золото на соревнованиях фигуристов?",Татьяна Тарасова
341,В каком подмосковном городе есть Маринкина башня?,Коломна
342,"Кем по образованию является солист группы ""ДДТ"" Юрий Шевчук?",Художник
343,Какому государству сейчас принадлежит Тибет?,Китаю
344,В какой социалистической стране в декабре 1981 года было введено военное положение?,Польша
345,"Кем был Томас Дилан, фамилию которого в качестве псевдонима взял американский композитор, музыкант и певец Роберт Циммерман?",поэт
346,В каком романе действует брошенный на необитаемом острове пират Бен Ган?,Остров сокровищ
347,"Какая страна является родиной сыра ""Пармезан""?",Италия
348,Кем по национальности был философ С. Кьеркегор?,Датчанин
349,На каком корабле полетела в космос В. Терешкова?,«Восток-6»
350,В каком полку служил Лермонтов?,Лейб-гвардии Гусарский Его Величества полк
351,Какое море омывает берега Испании?,Средиземное
352,Как звали мать Людовика XIV?,Анна Австрийская
353,"Кто автор романа ""Остров Крым""?",В. Аксенов
354,Кто из героев «Сильмариллиона» создал Сильмариллы?,Феанор
355,Какой сосуд лежит в основе конструкции термоса?,Сосуд Дьюара
356,В каком городе родился Саади?,Шираз
357,Какая наука занимается изучением флагов?,Вексиллология
358,Где располагалась резиденция рыцарей Круглого стола?,Камелот
359,Какое прозвище носит Нью-Йорк?,Большое яблоко
360,Какой город представляет швейцарский футбольный клуб «Грассхоппер»?,Цюрих
361,Как называется административный центр китайской провинции Цинхай?,Синин
